"ID","Generator","Status","Result Status","Proxy Role","Keep SR2","Has SR2","Highlight","Aqu_Ca","Aqu_Cl","Aqu_Mg","Aqu_Na","Aqu_SO4","Inj_CaComp","Inj_Cl","Inj_MgComp","Inj_NaComp","Inj_SO4Comp","InjectorStw","Tres","Inj_Temp","Oil_Recovery","Execution Node","Dataset Path","Optimal","Comment"
"19","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.45566215","6.5934739","0.29566961","2.974547","0.0042722954","0.0027466511","0.11442936","0.01542584","0.029014604","0.0009546216","278.9834","232.5","220","57.692112","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00019.dat","False",""
"20","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","5.1988017","0.3781012","4.6251548","0.0090153659","0.0054324864","0.1267653","0.003345608","0.072397244","0.000167478","252.4136","139.5","160","56.704258","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00020.dat","False",""
"21","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","3.1067934","0.3781012","4.6251548","0.000477839","0.0081183216","0.040413734","0.003345608","0.063720716","0.0004298592","225.8438","204.6","200","66.46067","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00021.dat","False",""
"22","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","5.1988017","0.00715902","5.1753574","0.0033236813","0.0072230432","0.089757486","0.013915811","0.00298502","0.0020041464","265.6985","148.8","190","53.729477","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00022.dat","False",""
"23","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.37145038","5.1988017","0.3368854","2.4243444","0.0042722954","6.08159E-05","0.040413734","0.007875695","0.081073772","0.0006922404","212.5589","232.5","210","55.267208","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00023.dat","False",""
"24","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.70829746","7.29081","0.29566961","1.3239392","0.000477839","0.0036419295","0.11442936","0.012405782","0.063720716","0.0022665276","265.6985","139.5","180","55.237263","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00024.dat","False",""
"25","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.0346033","6.5934739","0.3368854","1.8741418","0.0071181377","0.0027466511","0.10209342","0.00032555","0.0897503","0.0012170028","239.1287","223.2","150","52.714542","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00025.dat","False",""
"26","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.53987392","1.0147851","0.25445381","0.223534","0.0071181377","0.00095609431","0.015741858","0.012405782","0.029014604","0.0025289088","212.5589","186","210","52.36478","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00026.dat","False",""
"27","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.20302684","3.8041295","0.00715902","1.8741418","0.0071181377","0.0054324864","0.1267653","0.006365666","0.055044188","0.0017417652","252.4136","195.3","210","53.123844","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00027.dat","False",""
"28","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.0346033","4.5014656","0.17202221","2.974547","0.0090153659","0.0036419295","0.11442936","0.003345608","0.072397244","0.0025289088","252.4136","158.1","230","53.587337","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00028.dat","False",""
"29","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.0346033","7.29081","0.3781012","4.6251548","0.0023750672","6.08159E-05","0.015741858","0.010895753","0.04636766","0.000167478","332.123","232.5","240","65.489616","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00029.dat","False",""
"30","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.28723861","5.1988017","0.13080641","4.0749522","0.0080667518","0.0054324864","0.10209342","0.006365666","0.055044188","0.00279129","225.8438","186","210","52.908283","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00030.dat","False",""
"31","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.20302684","1.0147851","0.3781012","4.6251548","0.0090153659","0.0063277648","0.1267653","0.00032555","0.020338076","0.000167478","332.123","167.4","230","64.068382","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00031.dat","False",""
"32","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.876721","1.0147851","0.21323801","4.0749522","0.00996398","0.0072230432","0.089757486","0.01542584","0.055044188","0.0020041464","265.6985","213.9","250","53.414719","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00032.dat","False",""
"33","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.37145038","3.1067934","0.17202221","2.974547","0.0090153659","6.08159E-05","0.077421548","0.013915811","0.081073772","0.0006922404","252.4136","223.2","160","55.910786","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00033.dat","False",""
"34","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.53987392","3.1067934","0.21323801","0.223534","0.0014264531","0.0063277648","0.1267653","0.006365666","0.011661548","0.0025289088","292.2683","213.9","240","53.662716","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00034.dat","False",""
"35","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.20302684","5.8961378","0.089590616","5.1753574","0.00996398","0.0054324864","0.10209342","0.01542584","0.04636766","0.000167478","212.5589","204.6","170","55.205341","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00035.dat","False",""
"36","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.876721","5.8961378","0.21323801","0.7737366","0.0090153659","0.0018513727","0.052749672","0.009385724","0.063720716","0.0009546216","212.5589","213.9","170","53.089314","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00036.dat","False",""
"37","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.37145038","4.5014656","0.3781012","3.5247496","0.0080667518","0.0054324864","0.11442936","0.00032555","0.0897503","0.0004298592","332.123","232.5","240","62.537914","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00037.dat","False",""
"38","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.11881507","5.1988017","0.089590616","2.974547","0.0042722954","0.0081183216","0.028077796","0.006365666","0.072397244","0.0020041464","252.4136","204.6","160","52.902462","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00038.dat","False",""
"39","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.45566215","3.1067934","0.29566961","0.223534","0.0014264531","0.0027466511","0.089757486","0.012405782","0.037691132","0.001479384","199.274","158.1","190","52.33242","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00039.dat","False",""
"40","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.0346033","1.7121212","0.21323801","2.4243444","0.0052209095","0.0072230432","0.00340592","0.006365666","0.063720716","0.0017417652","212.5589","204.6","160","52.134811","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00040.dat","False",""
"41","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.0346033","0.317449","0.25445381","1.3239392","0.0061695236","0.0081183216","0.11442936","0.009385724","0.04636766","0.000167478","225.8438","195.3","230","56.733292","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00041.dat","False",""
"42","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.876721","7.29081","0.00715902","1.8741418","0.0071181377","0.0018513727","0.10209342","0.006365666","0.063720716","0.00279129","305.5532","195.3","230","53.991455","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00042.dat","False",""
"43","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.876721","1.0147851","0.048374818","4.0749522","0.000477839","0.0027466511","0.040413734","0.007875695","0.020338076","0.0006922404","318.8381","204.6","240","68.069519","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00043.dat","False",""
"44","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.53987392","1.7121212","0.00715902","0.7737366","0.0033236813","0.0072230432","0.06508561","0.009385724","0.072397244","0.0017417652","265.6985","176.7","230","53.484528","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00044.dat","False",""
"45","LatinHyperCube","Complete","NormalTermination","Training","Auto","False","False","0.62408569","1.0147851","0.419317","0.7737366","0.0033236813","0.0072230432","0.11442936","0.004855637","0.020338076","0.0009546216","318.8381","158.1","210","61.080639","DESKTOP-TOCK0PK","Lowsal_SA.cmsd\Lowsal_SA_00045.dat","False",""
